City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,aberdeen,46.98,-123.82,50.0,100,40,2.26,US,1572759006
366,chicama,-7.84,-79.15,62.6,88,75,6.93,PE,1572759006
367,sibiti,-3.69,13.35,71.42,86,93,1.36,CG,1572758773
368,kenora,49.76,-94.48,30.2,86,90,3.36,CA,1572758692
369,katobu,-4.94,122.53,91.22,46,52,3.04,ID,1572759006
370,pringsewu,-5.36,104.98,84.92,56,91,7.36,ID,1572758681
371,konotop,51.24,33.21,41.92,80,100,21.68,UA,1572759007
372,bitkine,11.98,18.21,83.08,35,90,2.33,TD,1572759007
373,paamiut,61.99,-49.67,30.92,40,0,4.52,GL,1572758792
374,mbandaka,0.05,18.26,73.98,92,98,3.13,CD,1572759008
375,naze,5.43,7.07,73.4,100,75,0.74,NG,1572758817
376,jumla,29.28,82.18,59.13,37,18,5.39,NP,1572758786
377,oussouye,12.49,-16.54,77.61,82,79,2.24,SN,1572759008
378,isangel,-19.55,169.27,82.4,58,75,16.11,VU,1572758695
379,caconda,-13.73,15.06,69.15,62,43,3.96,AO,1572759009
380,salta,-24.79,-65.41,69.8,100,75,1.86,AR,1572758712
381,nuuk,64.17,-51.74,30.2,68,7,8.05,GL,1572759010
382,thinadhoo,0.53,72.93,81.57,75,90,4.18,MV,1572758706
383,skjervoy,70.03,20.97,36.25,77,100,21.18,NO,1572759010
